customer_id,customer_name,email,region,city,signup_date
C0001,Customer 0001,customer0001@example.com,West,Pune,2025-11-18
C0002,Customer 0002,customer0002@example.com,South,Chennai,2025-09-18
C0003,Customer 0003,customer0003@example.com,Central,Bhopal,2025-04-19
C0004,Customer 0004,customer0004@example.com,West,Mumbai,2026-01-23
C0005,Customer 0005,customer0005@example.com,North,Jaipur,2024-04-19
C0006,Customer 0006,customer0006@example.com,Central,Bhopal,2026-02-21
C0007,Customer 0007,customer0007@example.com,West,Ahmedabad,2025-12-23
C0008,Customer 0008,customer0008@example.com,West,Pune,2025-03-04
C0009,Customer 0009,customer0009@example.com,North,Lucknow,2025-09-15
C0010,Customer 0010,customer0010@example.com,East,Guwahati,2025-03-18
C0011,Customer 0011,,South,Bengaluru,2024-08-16
C0012,Customer 0012,customer0012@example.com,Central,Bhopal,2025-11-10
C0013,Customer 0013,customer0013@example.com,West,Ahmedabad,2024-07-28
C0014,Customer 0014,customer0014@example.com,Central,Bhopal,2024-09-24
C0015,Customer 0015,customer0015@example.com,South,Chennai,2025-03-17
C0016,Customer 0016,customer0016@example.com,South,Hyderabad,2025-12-12
C0017,Customer 0017,customer0017@example.com,East,Bhubaneswar,2024-11-22
C0018,Customer 0018,customer0018@example.com,North,Delhi,2025-02-24
C0019,Customer 0019,customer0019@example.com,Central,Indore,2024-02-05
C0020,Customer 0020,customer0020@example.com,West,Pune,2024-04-08
C0021,Customer 0021,customer0021@example.com,West,Ahmedabad,2024-02-17
C0022,Customer 0022,customer0022@example.com,South,Hyderabad,2024-03-02
C0023,Customer 0023,customer0023@example.com,Central,Bhopal,2026-01-08
C0024,Customer 0024,customer0024@example.com,Central,Bhopal,2025-12-16
C0025,Customer 0025,customer0025@example.com,West,Pune,2025-11-29
C0026,Customer 0026,customer0026@example.com,south,Delhi,2024-02-17
C0027,Customer 0027,customer0027@example.com,East,Kolkata,2024-03-06
C0028,Customer 0028,customer0028@example.com,North,Delhi,2024-08-26
C0029,Customer 0029,customer0029@example.com,North,Delhi,2025-04-25
C0030,Customer 0030,customer0030@example.com,West,Ahmedabad,2024-10-11
C0031,Customer 0031,customer0031@example.com,West,Mumbai,2025-02-18
C0032,Customer 0032,customer0032@example.com,Central,Bhopal,2024-05-27
C0033,Customer 0033,customer0033@example.com,South,Hyderabad,2025-09-13
C0034,Customer 0034,customer0034@example.com,South,Chennai,2024-09-23
C0035,Customer 0035,customer0035@example.com,East,Guwahati,2024-02-26
C0036,Customer 0036,customer0036@example.com,North,Delhi,2025-09-23
C0037,Customer 0037,customer0037@example.com,North,Delhi,2026-02-06
C0038,Customer 0038,customer0038@example.com,East,Kolkata,2024-01-13
C0039,Customer 0039,customer0039@example.com,South,Hyderabad,2025-01-06
C0040,Customer 0040,customer0040@example.com,West,Pune,2025-12-04
C0041,Customer 0041,customer0041@example.com,South,Bengaluru,2025-08-23
C0042,Customer 0042,customer0042@example.com,Central,Bhopal,2025-12-29
C0043,Customer 0043,customer0043@example.com,West,Mumbai,2024-12-18
C0044,Customer 0044,customer0044@example.com,South,Bengaluru,2024-11-12
C0045,Customer 0045,customer0045@example.com,Central,Bhopal,2025-08-25
C0046,Customer 0046,customer0046@example.com,West,Pune,2024-05-10
C0047,Customer 0047,customer0047@example.com,South,Hyderabad,2024-07-22
C0048,Customer 0048,customer0048@example.com,South,Hyderabad,2025-05-25
C0049,Customer 0049,customer0049@example.com,West,Pune,2025-07-22
C0050,Customer 0050,customer0050@example.com,North,Delhi,2024-04-11
C0051,Customer 0051,customer0051@example.com,North,Delhi,2025-03-08
C0052,Customer 0052,customer0052@example.com,North,Lucknow,2024-11-06
C0053,Customer 0053,customer0053@example.com,West,Pune,2025-03-02
C0054,Customer 0054,customer0054@example.com,West,Pune,2026-03-25
C0055,Customer 0055,customer0055@example.com,West,Pune,2024-03-06
C0056,Customer 0056,customer0056@example.com,West,Mumbai,2026-04-26
C0057,Customer 0057,customer0057@example.com,East,Guwahati,2025-01-17
C0058,Customer 0058,customer0058@example.com,East,Guwahati,2025-10-18
C0059,Customer 0059,customer0059@example.com,North,Lucknow,2024-12-26
C0060,Customer 0060,customer0060@example.com,North,Lucknow,2024-09-21
C0061,Customer 0061,customer0061@example.com,West,Mumbai,2025-10-17
C0062,Customer 0062,customer0062@example.com,East,Kolkata,2025-08-07
C0063,Customer 0063,customer0063@example.com,East,Kolkata,2024-05-02
C0064,Customer 0064,customer0064@example.com,West,Ahmedabad,2025-08-22
C0065,Customer 0065,customer0065@example.com,West,Pune,2025-10-02
C0066,Customer 0066,customer0066@example.com,East,Bhubaneswar,2024-11-25
C0067,Customer 0067,customer0067@example.com,East,Guwahati,2026-02-25
C0068,Customer 0068,customer0068@example.com,South,Bengaluru,2025-06-28
C0069,Customer 0069,customer0069@example.com,North,Lucknow,2024-10-10
C0070,Customer 0070,customer0070@example.com,South,Hyderabad,2024-01-10
C0071,Customer 0071,customer0071@example.com,South,Chennai,2025-07-27
C0072,Customer 0072,customer0072@example.com,South,Bengaluru,2024-06-26
C0073,Customer 0073,customer0073@example.com,Central,Nagpur,2025-10-05
C0074,Customer 0074,customer0074@example.com,South,Hyderabad,2025-03-22
C0075,Customer 0075,customer0075@example.com,North,Delhi,2025-01-31
C0076,Customer 0076,customer0076@example.com,South,Chennai,2024-05-19
C0077,Customer 0077,customer0077@example.com,South,Bengaluru,2025-08-27
C0078,Customer 0078,customer0078@example.com,West,Ahmedabad,2024-05-21
C0079,Customer 0079,customer0079@example.com,East,Kolkata,2024-12-21
C0080,Customer 0080,customer0080@example.com,West,Pune,2025-12-11
C0081,Customer 0081,customer0081@example.com,West,Mumbai,2026-02-21
C0082,Customer 0082,customer0082@example.com,South,Chennai,2026-04-20
C0083,Customer 0083,customer0083@example.com,West,Pune,2026-03-25
C0084,Customer 0084,customer0084@example.com,North,Jaipur,2025-04-17
C0085,Customer 0085,customer0085@example.com,North,Jaipur,2024-06-19
C0086,Customer 0086,customer0086@example.com,North,Delhi,2025-12-14
C0087,Customer 0087,customer0087@example.com,West,Ahmedabad,2025-11-12
C0088,Customer 0088,customer0088@example.com,East,Kolkata,2026-04-21
C0089,Customer 0089,customer0089@example.com,North,Lucknow,2025-07-07
C0090,Customer 0090,customer0090@example.com,East,Kolkata,2024-04-30
C0091,Customer 0091,customer0091@example.com,North,Lucknow,2025-03-03
C0092,Customer 0092,customer0092@example.com,West,Pune,2025-01-16
C0093,Customer 0093,customer0093@example.com,South,Bengaluru,2025-12-17
C0094,Customer 0094,customer0094@example.com,South,Chennai,2024-11-29
C0095,Customer 0095,customer0095@example.com,South,Hyderabad,2024-10-06
C0096,Customer 0096,customer0096@example.com,West,Mumbai,2024-03-09
C0097,Customer 0097,customer0097@example.com,South,Bengaluru,2025-12-11
C0098,Customer 0098,customer0098@example.com,North,Lucknow,2025-10-04
C0099,Customer 0099,customer0099@example.com,North,Lucknow,2024-02-05
C0100,Customer 0100,customer0100@example.com,Central,Nagpur,2025-01-03
C0101,Customer 0101,customer0101@example.com,Central,Bhopal,2025-02-11
C0102,Customer 0102,customer0102@example.com,West,Ahmedabad,2025-02-02
C0103,Customer 0103,customer0103@example.com,South,Hyderabad,2026-02-20
C0104,Customer 0104,customer0104@example.com,Central,Bhopal,2024-05-08
C0105,Customer 0105,customer0105@example.com,West,Mumbai,2024-09-17
C0106,Customer 0106,customer0106@example.com,West,Ahmedabad,2024-06-02
C0107,Customer 0107,customer0107@example.com,South,Chennai,2024-07-26
C0108,Customer 0108,customer0108@example.com,South,Bengaluru,2026-02-10
C0109,Customer 0109,customer0109@example.com,North,Delhi,2026-03-10
C0110,Customer 0110,customer0110@example.com,Central,Bhopal,2024-02-07
C0111,Customer 0111,customer0111@example.com,East,Guwahati,2025-06-21
C0112,Customer 0112,customer0112@example.com,South,Chennai,2024-07-16
C0113,Customer 0113,customer0113@example.com,South,Hyderabad,2024-06-12
C0114,Customer 0114,customer0114@example.com,East,Guwahati,2024-09-05
C0115,Customer 0115,customer0115@example.com,North,Delhi,2024-06-14
C0116,Customer 0116,customer0116@example.com,Central,Bhopal,2025-02-20
C0117,Customer 0117,customer0117@example.com,West,Ahmedabad,2026-04-26
C0118,Customer 0118,customer0118@example.com,West,Pune,2025-05-13
C0119,Customer 0119,customer0119@example.com,South,Chennai,2025-09-06
C0120,Customer 0120,customer0120@example.com,West,Ahmedabad,2025-02-23
C0121,Customer 0121,customer0121@example.com,East,Kolkata,2024-01-12
C0122,Customer 0122,customer0122@example.com,West,Mumbai,2024-03-12
