customer_id,customer_name,email,region,city,signup_date
C0001,Customer 0001,customer0001@example.com,West,Pune,11/18/2025
C0002,Customer 0002,customer0002@example.com,South,Chennai,9/18/2025
C0003,Customer 0003,customer0003@example.com,Central,Bhopal,4/19/2025
C0004,Customer 0004,customer0004@example.com,West,Mumbai,1/23/2026
C0005,Customer 0005,customer0005@example.com,North,Jaipur,4/19/2024
C0006,Customer 0006,customer0006@example.com,Central,Bhopal,2/21/2026
C0007,Customer 0007,customer0007@example.com,West,Ahmedabad,12/23/2025
C0008,Customer 0008,customer0008@example.com,West,Pune,3/4/2025
C0009,Customer 0009,customer0009@example.com,North,Lucknow,9/15/2025
C0010,Customer 0010,customer0010@example.com,East,Guwahati,3/18/2025
C0011,Customer 0011,unknown@example.com,South,Bengaluru,8/16/2024
C0012,Customer 0012,customer0012@example.com,Central,Bhopal,11/10/2025
C0013,Customer 0013,customer0013@example.com,West,Ahmedabad,7/28/2024
C0014,Customer 0014,customer0014@example.com,Central,Bhopal,9/24/2024
C0015,Customer 0015,customer0015@example.com,South,Chennai,3/17/2025
C0016,Customer 0016,customer0016@example.com,South,Hyderabad,12/12/2025
C0017,Customer 0017,customer0017@example.com,East,Bhubaneswar,11/22/2024
C0018,Customer 0018,customer0018@example.com,North,Delhi,2/24/2025
C0019,Customer 0019,customer0019@example.com,Central,Indore,2/5/2024
C0020,Customer 0020,customer0020@example.com,West,Pune,4/8/2024
C0021,Customer 0021,customer0021@example.com,West,Ahmedabad,2/17/2024
C0022,Customer 0022,customer0022@example.com,South,Hyderabad,3/2/2024
C0023,Customer 0023,customer0023@example.com,Central,Bhopal,1/8/2026
C0024,Customer 0024,customer0024@example.com,Central,Bhopal,12/16/2025
C0025,Customer 0025,customer0025@example.com,West,Pune,11/29/2025
C0026,Customer 0026,customer0026@example.com,South,Delhi,2/17/2024
C0027,Customer 0027,customer0027@example.com,East,Kolkata,3/6/2024
C0028,Customer 0028,customer0028@example.com,North,Delhi,8/26/2024
C0029,Customer 0029,customer0029@example.com,North,Delhi,4/25/2025
C0030,Customer 0030,customer0030@example.com,West,Ahmedabad,10/11/2024
C0031,Customer 0031,customer0031@example.com,West,Mumbai,2/18/2025
C0032,Customer 0032,customer0032@example.com,Central,Bhopal,5/27/2024
C0033,Customer 0033,customer0033@example.com,South,Hyderabad,9/13/2025
C0034,Customer 0034,customer0034@example.com,South,Chennai,9/23/2024
C0035,Customer 0035,customer0035@example.com,East,Guwahati,2/26/2024
C0036,Customer 0036,customer0036@example.com,North,Delhi,9/23/2025
C0037,Customer 0037,customer0037@example.com,North,Delhi,2/6/2026
C0038,Customer 0038,customer0038@example.com,East,Kolkata,1/13/2024
C0039,Customer 0039,customer0039@example.com,South,Hyderabad,1/6/2025
C0040,Customer 0040,customer0040@example.com,West,Pune,12/4/2025
C0041,Customer 0041,customer0041@example.com,South,Bengaluru,8/23/2025
C0042,Customer 0042,customer0042@example.com,Central,Bhopal,12/29/2025
C0043,Customer 0043,customer0043@example.com,West,Mumbai,12/18/2024
C0044,Customer 0044,customer0044@example.com,South,Bengaluru,11/12/2024
C0045,Customer 0045,customer0045@example.com,Central,Bhopal,8/25/2025
C0046,Customer 0046,customer0046@example.com,West,Pune,5/10/2024
C0047,Customer 0047,customer0047@example.com,South,Hyderabad,7/22/2024
C0048,Customer 0048,customer0048@example.com,South,Hyderabad,5/25/2025
C0049,Customer 0049,customer0049@example.com,West,Pune,7/22/2025
C0050,Customer 0050,customer0050@example.com,North,Delhi,4/11/2024
C0051,Customer 0051,customer0051@example.com,North,Delhi,3/8/2025
C0052,Customer 0052,customer0052@example.com,North,Lucknow,11/6/2024
C0053,Customer 0053,customer0053@example.com,West,Pune,3/2/2025
C0054,Customer 0054,customer0054@example.com,West,Pune,3/25/2026
C0055,Customer 0055,customer0055@example.com,West,Pune,3/6/2024
C0056,Customer 0056,customer0056@example.com,West,Mumbai,4/26/2026
C0057,Customer 0057,customer0057@example.com,East,Guwahati,1/17/2025
C0058,Customer 0058,customer0058@example.com,East,Guwahati,10/18/2025
C0059,Customer 0059,customer0059@example.com,North,Lucknow,12/26/2024
C0060,Customer 0060,customer0060@example.com,North,Lucknow,9/21/2024
C0061,Customer 0061,customer0061@example.com,West,Mumbai,10/17/2025
C0062,Customer 0062,customer0062@example.com,East,Kolkata,8/7/2025
C0063,Customer 0063,customer0063@example.com,East,Kolkata,5/2/2024
C0064,Customer 0064,customer0064@example.com,West,Ahmedabad,8/22/2025
C0065,Customer 0065,customer0065@example.com,West,Pune,10/2/2025
C0066,Customer 0066,customer0066@example.com,East,Bhubaneswar,11/25/2024
